Station,Year,Month,MaxT (Deg.Cel),MinT(Deg.Cel)
Bogra (10408),2011,4,33.14,22.43
Bogra (10408),2011,5,32.97,23.61
Bogra (10408),2011,6,33.33,26.13
Bogra (10408),2011,7,32.89,26.52
Bogra (10408),2011,8,32.09,26.27
Bogra (10408),2011,9,32.88,26.17
Bogra (10408),2011,10,33.82,24.23
Bogra (10408),2011,11,29.92,18.02
Bogra (10408),2011,12,24.44,13.35
Bogra (10408),2012,1,23.95,12.21
Bogra (10408),2012,2,28.06,13.94
Bogra (10408),2012,3,32.6,19.46
Bogra (10408),2012,4,33.43,22.69
Bogra (10408),2012,5,35.16,25.55
Bogra (10408),2012,6,33.44,26.4
Bogra (10408),2012,7,32.86,26.67
Bogra (10408),2012,8,33.27,26.93
Bogra (10408),2012,9,33.02,26.35
Bogra (10408),2012,10,32.56,22.86
Bogra (10408),2012,11,29.27,17.29
Bogra (10408),2012,12,23.06,13.02
Bogra (10408),2013,1,23.65,10.25
Bogra (10408),2013,2,28.57,15.14
Bogra (10408),2013,3,32.88,19.91
Bogra (10408),2013,4,34.47,22.93
Bogra (10408),2013,5,32.01,24.52
Bogra (10408),2013,6,34.48,26.86
Bogra (10408),2013,7,33.33,26.87
Bogra (10408),2013,8,32.28,26.47
Bogra (10408),2013,9,33.64,26.52
Bogra (10408),2013,10,31.4,23.8
Bogra (10408),2013,11,30.73,17.43
Bogra (10408),2013,12,25.96,14.13
Bogra (10408),2014,1,23.13,12.32
Bogra (10408),2014,2,25.81,13.85
Bogra (10408),2014,3,31.45,18.66
Bogra (10408),2014,4,35.51,23.18
Bogra (10408),2014,5,35.13,25.16
Bogra (10408),2014,6,33.13,26.01
Bogra (10408),2014,7,33.15,26.79
Bogra (10408),2014,8,32.84,26.64
Bogra (10408),2014,9,32.37,25.86
Bogra (10408),2014,10,32.77,23.47
Bogra (10408),2014,11,30.88,17.89
Bogra (10408),2014,12,25.03,13.69
Bogra (10408),2015,1,24.16,12.64
Bogra (10408),2015,2,27.85,15.32
Bogra (10408),2015,3,31.26,18.83
Bogra (10408),2015,4,31.89,21.42
Bogra (10408),2015,5,33.65,23.78
Bogra (10408),2015,6,33.22,25.94
Bogra (10408),2015,7,32.89,25.88
Bogra (10408),2015,8,32.56,26.15
Bogra (10408),2015,9,33.47,25.91
Bogra (10408),2015,10,33.38,23.19
Bogra (10408),2015,11,31.2,18.8
Bogra (10408),2015,12,25.71,13.76
Bogra (10408),2016,1,24.43,11.91
Bogra (10408),2016,2,29.07,16.25
Bogra (10408),2016,3,32.51,20.91
Bogra (10408),2016,4,35.57,25.59
Bogra (10408),2016,5,33.23,23.9
Bogra (10408),2016,6,33.82,26.61
Bogra (10408),2016,7,32.31,26.57
Bogra (10408),2016,8,33.74,27.12
Bogra (10408),2016,9,32.87,26.36
Bogra (10408),2016,10,33.02,24.53
Bogra (10408),2016,11,30.88,18.87
Bogra (10408),2016,12,27.65,15.19
Bogra (10408),2017,1,25.88,12.78
Bogra (10408),2017,2,28.71,15.36
Bogra (10408),2017,3,29.15,18.86
Bogra (10408),2017,4,32.05,23.03
Bogra (10408),2017,5,33.59,24.73
Bogra (10408),2017,6,33.15,26.53
Bogra (10408),2017,7,31.86,26.76
Bogra (10408),2017,8,32.92,27.29
Bogra (10408),2017,9,33.32,26.93
Bogra (10408),2017,10,31.75,24.68
Bogra (10408),2017,11,30.23,18.78
Bogra (10408),2017,12,26.8,15.75
Bogra (10408),2018,1,22,9.98
Bogra (10408),2018,2,28.31,15.5
Bogra (10408),2018,3,32.12,20.26
Bogra (10408),2018,4,31.81,22.44
Bogra (10408),2018,5,31.57,23.68
Bogra (10408),2018,6,33.39,26.5
Bogra (10408),2018,7,32.92,27.07
Bogra (10408),2018,8,33.31,27.2
Bogra (10408),2018,9,33.64,26.74
Bogra (10408),2018,10,31.66,23.25
Bogra (10408),2018,11,30.43,18.72
Bogra (10408),2018,12,26.45,13.82
Bogra (10408),2019,1,26.68,12.59
Bogra (10408),2019,2,27.74,15.48
Bogra (10408),2019,3,31.12,19.2
Bogra (10408),2019,4,32.51,23.1
Bogra (10408),2019,5,33.78,25.29
Bogra (10408),2019,6,33.64,26.23
Bogra (10408),2019,7,32.71,26.76
Bogra (10408),2019,8,33.9,27.65
Bogra (10408),2019,9,32.39,26.51
Bogra (10408),2019,10,31.44,23.62
Bogra (10408),2019,11,30.74,19.82
Bogra (10408),2019,12,24.84,13.61
Bogra (10408),2020,1,23.57,12.8
Bogra (10408),2020,2,26.78,14.03
Bogra (10408),2020,3,30.73,19.46
Bogra (10408),2020,4,32.24,22.23
Bogra (10408),2020,5,32.09,23.92
Bogra (10408),2020,6,33.38,26.61
Bogra (10408),2020,7,32.42,27.05
Bogra (10408),2020,8,33.65,27.47
Bogra (10408),2020,9,32.68,26.95
Bogra (10408),2020,10,33.01,25.58
Bogra (10408),2020,11,30.57,18.65
Bogra (10408),2020,12,24.87,13.98
Bogra (10408),2021,1,23.79,12.36
Bogra (10408),2021,2,29.1,15.05
Bogra (10408),2021,3,32.74,21.24
Bogra (10408),2021,4,34.96,23.92
Bogra (10408),2021,5,33.32,24.41
Bogra (10408),2021,6,32.72,25.91
Bogra (10408),2021,7,33.13,26.91
Bogra (10408),2021,8,32.99,26.53
Bogra (10408),2021,9,33.7,26.38
Bogra (10408),2021,10,33.27,24.85
Bogra (10408),2021,11,30.07,18.07
Bogra (10408),2021,12,26.75,15.31
Bogra (10408),2022,1,23.47,12.91
Bogra (10408),2022,2,25.51,14.1
Bogra (10408),2022,3,33.3,21.15
Bogra (10408),2022,4,33.45,24.82
Bogra (10408),2022,5,32.85,24.4
Bogra (10408),2022,6,32.53,25.78
Bogra (10408),2022,7,34.15,27.24
Bogra (10408),2022,8,33.82,27.19
Bogra (10408),2022,9,32.83,26.12
Bogra (10408),2022,10,32.69,24.08
Bogra (10408),2022,11,31.01,18.43
Bogra (10408),2022,12,26.73,15.04
Rajshahi (10320),1970,1,24.56,10.98
Rajshahi (10320),1970,2,27.88,13.04
Rajshahi (10320),1970,3,33.17,17.74
Rajshahi (10320),1970,4,35.61,22.75
Rajshahi (10320),1970,5,34.47,24.35
Rajshahi (10320),1970,6,33.36,25.78
Rajshahi (10320),1970,7,32.16,26.02
Rajshahi (10320),1970,8,32.28,26.05
Rajshahi (10320),1970,9,32.28,25.67
Rajshahi (10320),1970,10,31.52,23.19
Rajshahi (10320),1970,11,29.24,17.87
Rajshahi (10320),1970,12,25.7,12.67
Rajshahi (10320),1971,1,24.5,12.35
Rajshahi (10320),1971,2,27.53,13.09
Rajshahi (10320),1971,3,33.17,17.74
Rajshahi (10320),1971,4,35.61,22.75
Rajshahi (10320),1971,5,34.47,23.91
Rajshahi (10320),1971,6,32.48,25.63
Rajshahi (10320),1971,7,31.31,25.9
Rajshahi (10320),1971,8,31.41,24.89
Rajshahi (10320),1971,9,34.17,25.34
Rajshahi (10320),1971,10,32.75,23.18
Rajshahi (10320),1971,11,29.67,17.71
Rajshahi (10320),1971,12,26.28,12.72
Rajshahi (10320),1972,1,25.33,11.64
Rajshahi (10320),1972,2,25.72,11.99
Rajshahi (10320),1972,3,33.59,18.85
Rajshahi (10320),1972,4,35.26,23.6
Rajshahi (10320),1972,5,33.94,26.2
Rajshahi (10320),1972,6,33.74,26.27
Rajshahi (10320),1972,7,32.94,26.6
Rajshahi (10320),1972,8,31.4,25.63
Rajshahi (10320),1972,9,32.8,24.92
Rajshahi (10320),1972,10,32.19,23.1
Rajshahi (10320),1972,11,29.38,17.51
Rajshahi (10320),1972,12,26.38,12.94
Rajshahi (10320),1973,1,26.03,11.42
Rajshahi (10320),1973,2,29.49,13.03
Rajshahi (10320),1973,3,32.94,16.89
Rajshahi (10320),1973,4,35.05,24.11
Rajshahi (10320),1973,5,32.68,24.17
Rajshahi (10320),1973,6,32.23,25.36
Rajshahi (10320),1973,7,32.03,26.2
Rajshahi (10320),1973,8,31.52,26.39
Rajshahi (10320),1973,9,31.13,25.82
Rajshahi (10320),1973,10,30.65,23.96
Rajshahi (10320),1973,11,27.83,19.07
Rajshahi (10320),1973,12,25.15,13.16
Rajshahi (10320),1974,1,24.73,11.71
Rajshahi (10320),1974,2,28.61,12.91
Rajshahi (10320),1974,3,32.89,18.13
Rajshahi (10320),1974,4,34.34,24.11
Rajshahi (10320),1974,5,34.25,24.57
Rajshahi (10320),1974,6,34.23,26.02
Rajshahi (10320),1974,7,31.21,25.38
Rajshahi (10320),1974,8,32.21,26.4
Rajshahi (10320),1974,9,31.81,25.69
Rajshahi (10320),1974,10,32.68,25.15
Rajshahi (10320),1974,11,30.03,19.05
Rajshahi (10320),1974,12,25.08,11.88
Rajshahi (10320),1975,1,24.95,11.62
Rajshahi (10320),1975,2,28.06,14.85
Rajshahi (10320),1975,3,33.28,18.61
Rajshahi (10320),1975,4,35.74,24.02
Rajshahi (10320),1975,5,34.26,24.98
Rajshahi (10320),1975,6,33.96,26.52
Rajshahi (10320),1975,7,30.89,25.64
Rajshahi (10320),1975,8,31.58,26.18
Rajshahi (10320),1975,9,31.02,25.83
Rajshahi (10320),1975,10,31.14,25.17
Rajshahi (10320),1975,11,28.37,16.79
Rajshahi (10320),1975,12,25.6,11.93
Rajshahi (10320),1976,1,25.68,12.04
Rajshahi (10320),1976,2,28.12,15.31
Rajshahi (10320),1976,3,33.56,19.76
Rajshahi (10320),1976,4,35.12,23.23
Rajshahi (10320),1976,5,33.64,23.66
Rajshahi (10320),1976,6,33.28,25.75
Rajshahi (10320),1976,7,32.24,26.23
Rajshahi (10320),1976,8,30.84,25.86
Rajshahi (10320),1976,9,32.11,25.82
Rajshahi (10320),1976,10,31.94,23.56
Rajshahi (10320),1976,11,30.64,19.18
Rajshahi (10320),1976,12,26.08,12.44
Rajshahi (10320),1977,1,24.83,11.22
Rajshahi (10320),1977,2,28.8,13.78
Rajshahi (10320),1977,3,35.22,20.59
Rajshahi (10320),1977,4,34.56,22.4
Rajshahi (10320),1977,5,32.69,22.15
Rajshahi (10320),1977,6,31.39,24.24
Rajshahi (10320),1977,7,31.82,26.73
Rajshahi (10320),1977,8,32.54,26.83
Rajshahi (10320),1977,9,33.18,26.55
Rajshahi (10320),1977,10,30.72,23.13
Rajshahi (10320),1977,11,28.95,20.03
Rajshahi (10320),1977,12,25.89,14.18
Rajshahi (10320),1978,1,24.32,11.35
Rajshahi (10320),1978,2,26.79,13.99
Rajshahi (10320),1978,3,31.05,16.27
Rajshahi (10320),1978,4,34.23,22.2
Rajshahi (10320),1978,5,32.45,24.02
Rajshahi (10320),1978,6,31.51,25.09
Rajshahi (10320),1978,7,31.51,25.8
Rajshahi (10320),1978,8,31.51,25.8
Rajshahi (10320),1978,9,30.91,25.63
Rajshahi (10320),1978,10,31.08,23.91
Rajshahi (10320),1978,11,29.25,18.41
Rajshahi (10320),1978,12,24.92,12.93
Rajshahi (10320),1979,1,25.09,12.8
Rajshahi (10320),1979,2,25.61,13.11
Rajshahi (10320),1979,3,32.71,17.46
Rajshahi (10320),1979,4,34.23,23.13
Rajshahi (10320),1979,5,34.08,25.81
Rajshahi (10320),1979,6,33.87,26.09
Rajshahi (10320),1979,7,32.23,26.02
Rajshahi (10320),1979,8,32.64,26.32
Rajshahi (10320),1979,9,32.81,25.63
Rajshahi (10320),1979,10,31.92,23.64
Rajshahi (10320),1979,11,30.66,20.44
Rajshahi (10320),1979,12,25.3,13.95
Rajshahi (10320),1980,1,24.4,11.55
Rajshahi (10320),1980,2,27.97,12.94
Rajshahi (10320),1980,3,32.83,18.04
Rajshahi (10320),1980,4,34.89,24.9
Rajshahi (10320),1980,5,32.89,23.41
Rajshahi (10320),1980,6,31.98,25.94
Rajshahi (10320),1980,7,31.95,26.28
Rajshahi (10320),1980,8,32.83,26.52
Rajshahi (10320),1980,9,32.6,26.55
Rajshahi (10320),1980,10,31.12,23.08
Rajshahi (10320),1980,11,29.38,17.92
Rajshahi (10320),1980,12,26.84,13.96
Rajshahi (10320),1981,1,23.08,10.19
Rajshahi (10320),1981,2,27.23,11.7
Rajshahi (10320),1981,3,33.8,16.92
Rajshahi (10320),1981,4,35.1,21.23
Rajshahi (10320),1981,5,33.96,23.66
Rajshahi (10320),1981,6,35.63,26.24
Rajshahi (10320),1981,7,32.95,26.44
Rajshahi (10320),1981,8,31.68,25.91
Rajshahi (10320),1981,9,31.93,26.19
Rajshahi (10320),1981,10,30.58,23.72
Rajshahi (10320),1981,11,29.66,17.46
Rajshahi (10320),1981,12,24.87,11.37
Rajshahi (10320),1982,1,24.55,11.3
Rajshahi (10320),1982,2,27.91,13.19
Rajshahi (10320),1982,3,33.65,17.52
Rajshahi (10320),1982,4,36.55,22.12
Rajshahi (10320),1982,5,35.28,25.21
Rajshahi (10320),1982,6,33.3,25.62
Rajshahi (10320),1982,7,33.57,26.55
Rajshahi (10320),1982,8,31.43,25.89
Rajshahi (10320),1982,9,33.35,26.25
Rajshahi (10320),1982,10,32.07,22.2
Rajshahi (10320),1982,11,28.26,16.75
Rajshahi (10320),1982,12,25.35,11.45
Rajshahi (10320),1983,1,23.77,10.19
Rajshahi (10320),1983,2,27.23,11.7
Rajshahi (10320),1983,3,33.8,16.92
Rajshahi (10320),1983,4,35.1,21.17
Rajshahi (10320),1983,5,33.96,23.66
Rajshahi (10320),1983,6,35.63,26.24
Rajshahi (10320),1983,7,32.95,26.46
Rajshahi (10320),1983,8,31.68,25.91
Rajshahi (10320),1983,9,31.93,26.19
Rajshahi (10320),1983,10,30.58,23.72
Rajshahi (10320),1983,11,29.66,17.46
Rajshahi (10320),1983,12,24.87,11.37
Rajshahi (10320),1984,1,23.4,11
Rajshahi (10320),1984,2,26.38,12.26
Rajshahi (10320),1984,3,34.78,16.88
Rajshahi (10320),1984,4,37.93,23.6
Rajshahi (10320),1984,5,34.96,25.04
Rajshahi (10320),1984,6,31.51,25.75
Rajshahi (10320),1984,7,31.83,25.5
Rajshahi (10320),1984,8,32.31,25.72
Rajshahi (10320),1984,9,31.98,24.9
Rajshahi (10320),1984,10,32.13,23.6
Rajshahi (10320),1984,11,28.88,16.43
Rajshahi (10320),1984,12,25.79,11.72
Rajshahi (10320),1985,1,25.13,11.89
Rajshahi (10320),1985,2,27.88,11.84
Rajshahi (10320),1985,3,35.47,18.9
Rajshahi (10320),1985,4,37.76,23.51
Rajshahi (10320),1985,5,33.55,22.94
Rajshahi (10320),1985,6,33.46,25.7
Rajshahi (10320),1985,7,31.33,25.25
Rajshahi (10320),1985,8,32.46,26.02
Rajshahi (10320),1985,9,32.31,25.41
Rajshahi (10320),1985,10,31.49,22.42
Rajshahi (10320),1985,11,29.05,16.31
Rajshahi (10320),1985,12,26.34,12.57
Rajshahi (10320),1986,1,25.35,10.9
Rajshahi (10320),1986,2,27.99,12.86
Rajshahi (10320),1986,3,34.67,17.07
Rajshahi (10320),1986,4,34.8,22.02
Rajshahi (10320),1986,5,34.19,22.62
Rajshahi (10320),1986,6,34.62,25.83
Rajshahi (10320),1986,7,32.1,25.76
Rajshahi (10320),1986,8,33.19,26.01
Rajshahi (10320),1986,9,31.26,24.92
Rajshahi (10320),1986,10,30.43,21.88
Rajshahi (10320),1986,11,28.6,18.09
Rajshahi (10320),1986,12,25.69,13.85
Rajshahi (10320),1987,1,25.19,11.13
Rajshahi (10320),1987,2,29.38,13.63
Rajshahi (10320),1987,3,33.31,18.53
Rajshahi (10320),1987,4,35.96,22.3
Rajshahi (10320),1987,5,36.81,23.76
Rajshahi (10320),1987,6,34.21,25.87
Rajshahi (10320),1987,7,31.53,25.73
Rajshahi (10320),1987,8,31.89,25.69
Rajshahi (10320),1987,9,32.08,26.14
Rajshahi (10320),1987,10,32.18,23.09
Rajshahi (10320),1987,11,29.21,17.88
Rajshahi (10320),1987,12,26.4,13.42
Rajshahi (10320),1988,1,25.88,11.25
Rajshahi (10320),1988,2,28.81,13.78
Rajshahi (10320),1988,3,32.53,17.51
Rajshahi (10320),1988,4,36.71,22.24
Rajshahi (10320),1988,5,34.14,23.9
Rajshahi (10320),1988,6,32.06,25.23
Rajshahi (10320),1988,7,32.29,25.85
Rajshahi (10320),1988,8,32.41,25.86
Rajshahi (10320),1988,9,33.51,25.59
Rajshahi (10320),1988,10,32.4,22.18
Rajshahi (10320),1988,11,29.37,17.56
Rajshahi (10320),1988,12,25.87,14.08
Rajshahi (10320),1989,1,24.18,8.39
Rajshahi (10320),1989,2,28.08,11.08
Rajshahi (10320),1989,3,33.43,15.8
Rajshahi (10320),1989,4,39.16,21.74
Rajshahi (10320),1989,5,36.21,24.89
Rajshahi (10320),1989,6,33.1,25.34
Rajshahi (10320),1989,7,31.99,25.22
Rajshahi (10320),1989,8,32.86,25.74
Rajshahi (10320),1989,9,32.18,25.24
Rajshahi (10320),1989,10,31.98,23.12
Rajshahi (10320),1989,11,29.51,15.74
Rajshahi (10320),1989,12,24.87,10.86
Rajshahi (10320),1990,1,25.52,10.01
Rajshahi (10320),1990,2,27.73,13.64
Rajshahi (10320),1990,3,30.04,16.51
Rajshahi (10320),1990,4,34.73,21.52
Rajshahi (10320),1990,5,33.57,23.43
Rajshahi (10320),1990,6,33.53,25.41
Rajshahi (10320),1990,7,32.21,25.36
Rajshahi (10320),1990,8,33.44,25.37
Rajshahi (10320),1990,9,33.01,24.77
Rajshahi (10320),1990,10,30.25,20.64
Rajshahi (10320),1990,11,30.22,17.74
Rajshahi (10320),1990,12,26.99,10.94
Rajshahi (10320),1991,1,24.19,9.42
Rajshahi (10320),1991,2,29.55,13.2
Rajshahi (10320),1991,3,33.67,18.34
Rajshahi (10320),1991,4,36.97,21.96
Rajshahi (10320),1991,5,35.23,24.37
Rajshahi (10320),1991,6,33.46,25.45
Rajshahi (10320),1991,7,32.78,25.66
Rajshahi (10320),1991,8,33.32,25.7
Rajshahi (10320),1991,9,32.38,24.94
Rajshahi (10320),1991,10,31.23,22.36
Rajshahi (10320),1991,11,28.86,15.25
Rajshahi (10320),1991,12,24.69,11.67
Rajshahi (10320),1992,1,23.88,10.45
Rajshahi (10320),1992,2,25.71,11.94
Rajshahi (10320),1992,3,34.66,17.13
Rajshahi (10320),1992,4,38.95,22.87
Rajshahi (10320),1992,5,35.5,23.32
Rajshahi (10320),1992,6,35.17,25.72
Rajshahi (10320),1992,7,32.2,25.29
Rajshahi (10320),1992,8,33.13,25.69
Rajshahi (10320),1992,9,32.82,25.19
Rajshahi (10320),1992,10,32.35,22.19
Rajshahi (10320),1992,11,29.61,16.33
Rajshahi (10320),1992,12,25.76,10.66
Rajshahi (10320),1993,1,24.46,9.01
Rajshahi (10320),1993,2,29.53,13.41
Rajshahi (10320),1993,3,32.11,15.8
Rajshahi (10320),1993,4,34.98,21.85
Rajshahi (10320),1993,5,34.19,23.09
Rajshahi (10320),1993,6,33.23,25.16
Rajshahi (10320),1993,7,32.45,26.04
Rajshahi (10320),1993,8,32.15,26.49
Rajshahi (10320),1993,9,31.92,25.49
Rajshahi (10320),1993,10,32.05,23.49
Rajshahi (10320),1993,11,29.34,18.12
Rajshahi (10320),1993,12,26.7,13.52
Rajshahi (10320),1994,1,24.76,11.74
Rajshahi (10320),1994,2,26.3,12.59
Rajshahi (10320),1994,3,32.94,18.34
Rajshahi (10320),1994,4,35.91,22.61
Rajshahi (10320),1994,5,36.21,25.26
Rajshahi (10320),1994,6,32.71,25.97
Rajshahi (10320),1994,7,32.25,26.3
Rajshahi (10320),1994,8,32.82,26.18
Rajshahi (10320),1994,9,32.51,24.79
Rajshahi (10320),1994,10,32.18,22.35
Rajshahi (10320),1994,11,28.95,17.81
Rajshahi (10320),1994,12,26.08,11.64
Rajshahi (10320),1995,1,23.33,9.58
Rajshahi (10320),1995,2,26.76,12.85
Rajshahi (10320),1995,3,32.42,17.28
Rajshahi (10320),1995,4,38.49,23.12
Rajshahi (10320),1995,5,37.76,26.48
Rajshahi (10320),1995,6,33.46,26.47
Rajshahi (10320),1995,7,31.93,26.06
Rajshahi (10320),1995,8,32.47,26.11
Rajshahi (10320),1995,9,32.1,25.83
Rajshahi (10320),1995,10,32.17,23.76
Rajshahi (10320),1995,11,28.7,18.11
Rajshahi (10320),1995,12,25.9,12.47
Rajshahi (10320),1996,1,24.44,10.97
Rajshahi (10320),1996,2,28,13.24
Rajshahi (10320),1996,3,34.24,19.38
Rajshahi (10320),1996,4,36.97,22.51
Rajshahi (10320),1996,5,36.7,25.28
Rajshahi (10320),1996,6,32.92,25.13
Rajshahi (10320),1996,7,32.95,26.35
Rajshahi (10320),1996,8,32.48,25.95
Rajshahi (10320),1996,9,33.31,26.12
Rajshahi (10320),1996,10,31.13,22.83
Rajshahi (10320),1996,11,29.39,16.76
Rajshahi (10320),1996,12,26.12,12.01
Rajshahi (10320),1997,1,23.99,9.75
Rajshahi (10320),1997,2,26.82,12.2
Rajshahi (10320),1997,3,32.77,18.67
Rajshahi (10320),1997,4,32.35,20.41
Rajshahi (10320),1997,5,36.34,24.35
Rajshahi (10320),1997,6,34.61,25.44
Rajshahi (10320),1997,7,31.83,25.99
Rajshahi (10320),1997,8,32.64,26.38
Rajshahi (10320),1997,9,31.81,25.21
Rajshahi (10320),1997,10,31.43,22.03
Rajshahi (10320),1997,11,29.13,18.7
Rajshahi (10320),1997,12,23.45,13.49
Rajshahi (10320),1998,1,21.28,10.35
Rajshahi (10320),1998,2,27.55,13.91
Rajshahi (10320),1998,3,30.71,16.2
Rajshahi (10320),1998,4,33.98,22.12
Rajshahi (10320),1998,5,34.93,24.9
Rajshahi (10320),1998,6,35.73,27.48
Rajshahi (10320),1998,7,32.85,26.53
Rajshahi (10320),1998,8,32.84,26.79
Rajshahi (10320),1998,9,32.63,26.18
Rajshahi (10320),1998,10,32.61,24.97
Rajshahi (10320),1998,11,29.78,20.34
Rajshahi (10320),1998,12,26.68,14.02
Rajshahi (10320),1999,1,24.86,11.18
Rajshahi (10320),1999,2,30.03,14.08
Rajshahi (10320),1999,3,35.21,17.76
Rajshahi (10320),1999,4,37.78,25.72
Rajshahi (10320),1999,5,34.55,24.88
Rajshahi (10320),1999,6,34.28,26.32
Rajshahi (10320),1999,7,32.24,25.86
Rajshahi (10320),1999,8,32.05,26.04
Rajshahi (10320),1999,9,31.26,25.58
Rajshahi (10320),1999,10,31.56,24.33
Rajshahi (10320),1999,11,29.65,18.2
Rajshahi (10320),1999,12,26.64,14.13
Rajshahi (10320),2000,1,24.06,10.66
Rajshahi (10320),2000,2,25.22,12.93
Rajshahi (10320),2000,3,31.96,17.55
Rajshahi (10320),2000,4,34.56,23.12
Rajshahi (10320),2000,5,33.35,24.29
Rajshahi (10320),2000,6,33.61,25.89
Rajshahi (10320),2000,7,32.73,26.64
Rajshahi (10320),2000,8,33.27,26.44
Rajshahi (10320),2000,9,31.2,25.31
Rajshahi (10320),2000,10,32.1,23.99
Rajshahi (10320),2000,11,30.23,18.33
Rajshahi (10320),2000,12,26.14,12.69
Rajshahi (10320),2001,1,24.24,9.4
Rajshahi (10320),2001,2,28.64,12.87
Rajshahi (10320),2001,3,33.59,17.46
Rajshahi (10320),2001,4,36.97,22.86
Rajshahi (10320),2001,5,33.01,23.75
Rajshahi (10320),2001,6,32.48,25.61
Rajshahi (10320),2001,7,32.69,26.37
Rajshahi (10320),2001,8,33.5,26.59
Rajshahi (10320),2001,9,33.22,26.06
Rajshahi (10320),2001,10,31.91,24
Rajshahi (10320),2001,11,29.73,19.19
Rajshahi (10320),2001,12,24.99,12.85
Rajshahi (10320),2002,1,24.99,12.28
Rajshahi (10320),2002,2,28.68,13.29
Rajshahi (10320),2002,3,33.2,18.44
Rajshahi (10320),2002,4,33.55,22.57
Rajshahi (10320),2002,5,32.9,24.15
Rajshahi (10320),2002,6,33.46,25.73
Rajshahi (10320),2002,7,33.21,26.57
Rajshahi (10320),2002,8,32.65,26.18
Rajshahi (10320),2002,9,33.13,25.59
Rajshahi (10320),2002,10,31.86,22.28
Rajshahi (10320),2002,11,29.08,17.79
Rajshahi (10320),2002,12,25.46,12.89
Rajshahi (10320),2003,1,21.8,8.46
Rajshahi (10320),2003,2,27.38,14.21
Rajshahi (10320),2003,3,30.68,17.95
Rajshahi (10320),2003,4,35.88,23.48
Rajshahi (10320),2003,5,35.77,24.56
Rajshahi (10320),2003,6,33.48,25.81
Rajshahi (10320),2003,7,33.23,26.59
Rajshahi (10320),2003,8,33.66,26.83
Rajshahi (10320),2003,9,32.83,26.05
Rajshahi (10320),2003,10,30.66,23.95
Rajshahi (10320),2003,11,29.41,17.42
Rajshahi (10320),2003,12,25.59,13.5
Rajshahi (10320),2004,1,22.05,10.9
Rajshahi (10320),2004,2,28.14,13.36
Rajshahi (10320),2004,3,34.48,20.07
Rajshahi (10320),2004,4,34.79,23.34
Rajshahi (10320),2004,5,37.06,25.32
Rajshahi (10320),2004,6,33.47,25.36
Rajshahi (10320),2004,7,32.37,25.92
Rajshahi (10320),2004,8,33.05,26.26
Rajshahi (10320),2004,9,31.45,25.51
Rajshahi (10320),2004,10,31.08,22.23
Rajshahi (10320),2004,11,29.48,16.34
Rajshahi (10320),2004,12,26.34,14.16
Rajshahi (10320),2005,1,23.83,11.29
Rajshahi (10320),2005,2,29.05,15.03
Rajshahi (10320),2005,3,32.9,19.72
Rajshahi (10320),2005,4,35.77,23.52
Rajshahi (10320),2005,5,35.11,24.38
Rajshahi (10320),2005,6,35.98,26.13
Rajshahi (10320),2005,7,32.25,26.06
Rajshahi (10320),2005,8,33.16,26.75
Rajshahi (10320),2005,9,33.74,26.03
Rajshahi (10320),2005,10,29.83,23.17
Rajshahi (10320),2005,11,28.29,16.56
Rajshahi (10320),2005,12,26.46,12.95
Rajshahi (10320),2006,1,24.87,10.59
Rajshahi (10320),2006,2,31.3,16.23
Rajshahi (10320),2006,3,33.53,18.49
Rajshahi (10320),2006,4,35.28,22.97
Rajshahi (10320),2006,5,34.98,24.45
Rajshahi (10320),2006,6,34.1,26.18
Rajshahi (10320),2006,7,33.19,26.61
Rajshahi (10320),2006,8,33.3,25.97
Rajshahi (10320),2006,9,32.93,25.51
Rajshahi (10320),2006,10,32.56,23.5
Rajshahi (10320),2006,11,28.74,17.82
Rajshahi (10320),2006,12,26.27,12.69
Rajshahi (10320),2007,1,24.48,9.43
Rajshahi (10320),2007,2,26.37,14.63
Rajshahi (10320),2007,3,31.11,17.13
Rajshahi (10320),2007,4,35.45,23.72
Rajshahi (10320),2007,5,36.15,24.9
Rajshahi (10320),2007,6,33.77,25.59
Rajshahi (10320),2007,7,32.45,26.05
Rajshahi (10320),2007,8,33.37,26.66
Rajshahi (10320),2007,9,32.85,26.06
Rajshahi (10320),2007,10,31.9,23.28
Rajshahi (10320),2007,11,29.75,18.45
Rajshahi (10320),2007,12,25.42,11.54
Rajshahi (10320),2008,1,23.74,11.09
Rajshahi (10320),2008,2,25.73,11.99
Rajshahi (10320),2008,3,33.03,20.12
Rajshahi (10320),2008,4,36.34,23.07
Rajshahi (10320),2008,5,35.55,24.25
Rajshahi (10320),2008,6,32.71,25.71
Rajshahi (10320),2008,7,31.92,25.99
Rajshahi (10320),2008,8,32.9,26.37
Rajshahi (10320),2008,9,33.24,25.85
Rajshahi (10320),2008,10,31.79,22.56
Rajshahi (10320),2008,11,29.59,16.55
Rajshahi (10320),2008,12,25.01,15.04
Rajshahi (10320),2009,1,24.49,12.35
Rajshahi (10320),2009,2,29.45,12.56
Rajshahi (10320),2009,3,33.43,17.96
Rajshahi (10320),2009,4,37.44,23.89
Rajshahi (10320),2009,5,34.89,24.36
Rajshahi (10320),2009,6,36.74,26.56
Rajshahi (10320),2009,7,33.47,26.56
Rajshahi (10320),2009,8,32.89,26.37
Rajshahi (10320),2009,9,33.6,25.94
Rajshahi (10320),2009,10,31.93,22.11
